Owner,Name,AttrType,Visibility,True,Value,Redefines
Observations::EventTypes::MaterialRetract,type,DataTypes::DataItemTypeEnum,public,true,MATERIAL_RETRACT,Observations::Observation::type
Observations::EventTypes::MaterialUnload,type,DataTypes::DataItemTypeEnum,public,true,MATERIAL_UNLOAD,Observations::Observation::type
Observations::EventTypes::Message,type,DataTypes::DataItemTypeEnum,public,true,MESSAGE,Observations::Observation::type
Observations::ConditionTypes::MotionProgram,type,DataTypes::DataItemTypeEnum,public,true,MOTION_PROGRAM,Observations::Observation::type
Observations::EventTypes::OpenChuck,type,DataTypes::DataItemTypeEnum,public,true,OPEN_CHUCK,Observations::Observation::type
Observations::EventTypes::OpenDoor,type,DataTypes::DataItemTypeEnum,public,true,OPEN_DOOR,Observations::Observation::type
Observations::EventTypes::OperatorId,type,DataTypes::DataItemTypeEnum,public,true,OPERATOR_ID,Observations::Observation::type
Observations::EventTypes::PalletId,type,DataTypes::DataItemTypeEnum,public,true,PALLET_ID,Observations::Observation::type
Observations::EventTypes::PartChange,type,DataTypes::DataItemTypeEnum,public,true,PART_CHANGE,Observations::Observation::type
Observations::EventTypes::PartCount,type,DataTypes::DataItemTypeEnum,public,true,PART_COUNT,Observations::Observation::type
Observations::EventTypes::AllPartCount,subType,DataTypes::DataItemSubTypeEnum,public,true,ALL,Observations::Observation::subType
Observations::EventTypes::GoodPartCount,subType,DataTypes::DataItemSubTypeEnum,public,true,GOOD,Observations::Observation::subType
Observations::EventTypes::BadPartCount,subType,DataTypes::DataItemSubTypeEnum,public,true,BAD,Observations::Observation::subType
Observations::EventTypes::TargetPartCount,subType,DataTypes::DataItemSubTypeEnum,public,true,TARGET,Observations::Observation::subType
Observations::EventTypes::RemainingPartCount,subType,DataTypes::DataItemSubTypeEnum,public,true,REMAINING,Observations::Observation::subType
Observations::EventTypes::PartDetect,type,DataTypes::DataItemTypeEnum,public,true,PART_DETECT,Observations::Observation::type
Observations::EventTypes::PartId,type,DataTypes::DataItemTypeEnum,public,true,PART_ID,Observations::Observation::type
Observations::EventTypes::PartNumber,type,DataTypes::DataItemTypeEnum,public,true,PART_NUMBER,Observations::Observation::type
Observations::SampleTypes::PathFeedrate,units,DataTypes::UnitEnum,public,true,MILLIMETER/SECOND,Observations::Observation::units
Observations::SampleTypes::PathFeedrate,type,DataTypes::DataItemTypeEnum,public,true,PATH_FEEDRATE,Observations::Observation::type
Observations::SampleTypes::ActualPathFeedrate,subType,DataTypes::DataItemSubTypeEnum,public,true,ACTUAL,Observations::Observation::subType
Observations::SampleTypes::CommandedPathFeedrate,subType,DataTypes::DataItemSubTypeEnum,public,true,COMMANDED,Observations::Observation::subType
Observations::SampleTypes::JogPathFeedrate,subType,DataTypes::DataItemSubTypeEnum,public,true,JOG,Observations::Observation::subType
Observations::SampleTypes::ProgrammedPathFeedrate,subType,DataTypes::DataItemSubTypeEnum,public,true,PROGRAMMED,Observations::Observation::subType
Observations::SampleTypes::RapidPathFeedrate,subType,DataTypes::DataItemSubTypeEnum,public,true,RAPID,Observations::Observation::subType
Observations::SampleTypes::OverridePathFeedrate,subType,DataTypes::DataItemSubTypeEnum,public,true,OVERRIDE,Observations::Observation::subType
Observations::EventTypes::PathFeedrateOverride,type,DataTypes::DataItemTypeEnum,public,true,PATH_FEEDRATE_OVERRIDE,Observations::Observation::type
Observations::EventTypes::JogPathFeedrateOverride,subType,DataTypes::DataItemSubTypeEnum,public,true,JOG,Observations::Observation::subType
Observations::EventTypes::ProgrammedPathFeedrateOverride,subType,DataTypes::DataItemSubTypeEnum,public,true,PROGRAMMED,Observations::Observation::subType
Observations::EventTypes::RapidPathFeedrateOverride,subType,DataTypes::DataItemSubTypeEnum,public,true,RAPID,Observations::Observation::subType
Observations::SampleTypes::PathFeedratePerRevolution,units,DataTypes::UnitEnum,public,true,MILLIMETER/REVOLUTION,Observations::Observation::units
Observations::SampleTypes::PathFeedratePerRevolution,type,DataTypes::DataItemTypeEnum,public,true,PATH_FEEDRATE_PER_REVOLUTION,Observations::Observation::type
Observations::SampleTypes::ActualPathFeedratePerRevolution,subType,DataTypes::DataItemSubTypeEnum,public,true,ACTUAL,Observations::Observation::subType
Observations::SampleTypes::CommandedPathFeedratePerRevolution,subType,DataTypes::DataItemSubTypeEnum,public,true,COMMANDED,Observations::Observation::subType
Observations::SampleTypes::ProgrammedPathFeedratePerRevolution,subType,DataTypes::DataItemSubTypeEnum,public,true,PROGRAMMED,Observations::Observation::subType
Observations::EventTypes::PathMode,type,DataTypes::DataItemTypeEnum,public,true,PATH_MODE,Observations::Observation::type
Observations::EventTypes::PathMode,value,Observations::EventTypes::PathModeEnum,public,false,,Observations::Observation::result
Observations::SampleTypes::PathPosition,units,DataTypes::UnitEnum,public,true,MILLIMETER_3D,Observations::Observation::units
Observations::SampleTypes::PathPosition,type,DataTypes::DataItemTypeEnum,public,true,PATH_POSITION,Observations::Observation::type
Observations::SampleTypes::ActualPathPosition,subType,DataTypes::DataItemSubTypeEnum,public,true,ACTUAL,Observations::Observation::subType
Observations::SampleTypes::CommandedPathPosition,subType,DataTypes::DataItemSubTypeEnum,public,true,COMMANDED,Observations::Observation::subType
Observations::SampleTypes::TargetPathPosition,subType,DataTypes::DataItemSubTypeEnum,public,true,TARGET,Observations::Observation::subType
Observations::SampleTypes::ProbePathPosition,subType,DataTypes::DataItemSubTypeEnum,public,true,PROBE,Observations::Observation::subType
Observations::SampleTypes::PH,units,DataTypes::UnitEnum,public,true,PH,Observations::Observation::units
Observations::SampleTypes::PH,type,DataTypes::DataItemTypeEnum,public,true,PH,Observations::Observation::type
Observations::SampleTypes::Position,units,DataTypes::UnitEnum,public,true,MILLIMETER,Observations::Observation::units
Observations::SampleTypes::Position,type,DataTypes::DataItemTypeEnum,public,true,POSITION,Observations::Observation::type
Observations::SampleTypes::ActualPosition,subType,DataTypes::DataItemSubTypeEnum,public,true,ACTUAL,Observations::Observation::subType
Observations::SampleTypes::CommandedPosition,subType,DataTypes::DataItemSubTypeEnum,public,true,COMMANDED,Observations::Observation::subType
Observations::SampleTypes::ProgrammedPosition,subType,DataTypes::DataItemSubTypeEnum,public,true,PROGRAMMED,Observations::Observation::subType
Observations::SampleTypes::TargetPosition,subType,DataTypes::DataItemSubTypeEnum,public,true,TARGET,Observations::Observation::subType
Observations::SampleTypes::PowerFactor,units,DataTypes::UnitEnum,public,true,PERCENT,Observations::Observation::units
Observations::SampleTypes::PowerFactor,type,DataTypes::DataItemTypeEnum,public,true,POWER_FACTOR,Observations::Observation::type
Observations::EventTypes::PowerState,type,DataTypes::DataItemTypeEnum,public,true,POWER_STATE,Observations::Observation::type
Observations::EventTypes::PowerState,value,Observations::EventTypes::ControllerModeOverrideEnum,public,false,,Observations::Observation::result
Observations::EventTypes::LinePowerState,subType,DataTypes::DataItemSubTypeEnum,public,true,LINE,Observations::Observation::subType
Observations::EventTypes::ControlPowerState,subType,DataTypes::DataItemSubTypeEnum,public,true,CONTROL,Observations::Observation::subType
