Generalization,Name
Observations::Sample,Observations::Samples::Frequency
Observations::Event,Observations::Events::FunctionalMode
Observations::Sample,Observations::Samples::GlobalPosition
Observations::Event,Observations::Events::Hardness
Observations::Events::Hardness,Observations::Events::RockwellHardness
Observations::Events::Hardness,Observations::Events::VickersHardness
Observations::Events::Hardness,Observations::Events::ShoreHardness
Observations::Events::Hardness,Observations::Events::BrinellHardness
Observations::Events::Hardness,Observations::Events::LeebHardness
Observations::Events::Hardness,Observations::Events::MohsHardness
Observations::Condition,Observations::Conditions::Hardware
Observations::Event,Observations::Events::InterfaceState
Observations::Sample,Observations::Samples::Length
Observations::Samples::Length,Observations::Samples::StandardLength
Observations::Samples::Length,Observations::Samples::RemainingLength
Observations::Samples::Length,Observations::Samples::UseableLength
Observations::Sample,Observations::Samples::Level
Observations::Event,Observations::Events::Line
Observations::Events::Line,Observations::Events::MaximumLine
Observations::Events::Line,Observations::Events::MinimumLine
Observations::Sample,Observations::Samples::LinearForce
Observations::Event,Observations::Events::LineLabel
Observations::Event,Observations::Events::LineNumber
Observations::Events::LineNumber,Observations::Events::AbsoluteLineNumber
Observations::Events::LineNumber,Observations::Events::IncrementalLineNumber
Observations::Sample,Observations::Samples::Load
Observations::Condition,Observations::Conditions::LogicProgram
Observations::Sample,Observations::Samples::Mass
Observations::Event,Observations::Events::Material
Observations::Event,Observations::Events::MaterialChange
Observations::Event,Observations::Events::MaterialFeed
Observations::Event,Observations::Events::MaterialLayer
Observations::Events::MaterialLayer,Observations::Events::ActualMaterialLayer
Observations::Events::MaterialLayer,Observations::Events::TargetMaterialLayer
Observations::Event,Observations::Events::MaterialLoad
Observations::Event,Observations::Events::MaterialRetract
Observations::Event,Observations::Events::MaterialUnload
Observations::Event,Observations::Events::Message
Observations::Condition,Observations::Conditions::MotionProgram
Observations::Event,Observations::Events::OpenChuck
Observations::Event,Observations::Events::OpenDoor
Observations::Event,Observations::Events::OperatorId
Observations::Event,Observations::Events::PalletId
Observations::Event,Observations::Events::PartChange
Observations::Event,Observations::Events::PartCount
Observations::Events::PartCount,Observations::Events::AllPartCount
Observations::Events::PartCount,Observations::Events::GoodPartCount
Observations::Events::PartCount,Observations::Events::BadPartCount
Observations::Events::PartCount,Observations::Events::TargetPartCount
Observations::Events::PartCount,Observations::Events::RemainingPartCount
Observations::Event,Observations::Events::PartDetect
Observations::Event,Observations::Events::PartId
Observations::Event,Observations::Events::PartNumber
Observations::Sample,Observations::Samples::PathFeedrate
Observations::Samples::PathFeedrate,Observations::Samples::ActualPathFeedrate
Observations::Samples::PathFeedrate,Observations::Samples::CommandedPathFeedrate
Observations::Samples::PathFeedrate,Observations::Samples::JogPathFeedrate
Observations::Samples::PathFeedrate,Observations::Samples::ProgrammedPathFeedrate
Observations::Samples::PathFeedrate,Observations::Samples::RapidPathFeedrate
Observations::Samples::PathFeedrate,Observations::Samples::OverridePathFeedrate
Observations::Event,Observations::Events::PathFeedrateOverride
Observations::Events::PathFeedrateOverride,Observations::Events::JogPathFeedrateOverride
Observations::Events::PathFeedrateOverride,Observations::Events::ProgrammedPathFeedrateOverride
Observations::Events::PathFeedrateOverride,Observations::Events::RapidPathFeedrateOverride
Observations::Sample,Observations::Samples::PathFeedratePerRevolution
Observations::Samples::PathFeedratePerRevolution,Observations::Samples::ActualPathFeedratePerRevolution
Observations::Samples::PathFeedratePerRevolution,Observations::Samples::CommandedPathFeedratePerRevolution
Observations::Samples::PathFeedratePerRevolution,Observations::Samples::ProgrammedPathFeedratePerRevolution
Observations::Event,Observations::Events::PathMode
Observations::Sample,Observations::Samples::PathPosition
Observations::Samples::PathPosition,Observations::Samples::ActualPathPosition
Observations::Samples::PathPosition,Observations::Samples::CommandedPathPosition
Observations::Samples::PathPosition,Observations::Samples::TargetPathPosition
Observations::Samples::PathPosition,Observations::Samples::ProbePathPosition
Observations::Sample,Observations::Samples::PH
Observations::Sample,Observations::Samples::Position
Observations::Samples::Position,Observations::Samples::ActualPosition
Observations::Samples::Position,Observations::Samples::CommandedPosition
Observations::Samples::Position,Observations::Samples::ProgrammedPosition
Observations::Samples::Position,Observations::Samples::TargetPosition
Observations::Sample,Observations::Samples::PowerFactor
Observations::Event,Observations::Events::PowerState
Observations::Events::PowerState,Observations::Events::LinePowerState
Observations::Events::PowerState,Observations::Events::ControlPowerState
Observations::Event,Observations::Events::PowerStatus
Observations::Sample,Observations::Samples::Pressure
Observations::Event,Observations::Events::ProcessTime
Observations::Events::ProcessTime,Observations::Events::StartProcessTime
Observations::Events::ProcessTime,Observations::Events::CompleteProcessTime
Observations::Events::ProcessTime,Observations::Events::TargetCompletionProcessTime
Observations::Sample,Observations::Samples::ProcessTimer
Observations::Samples::ProcessTimer,Observations::Samples::ProcessProcessTimer
Observations::Samples::ProcessTimer,Observations::Samples::DelayProcessTimer
Observations::Event,Observations::Events::Program
Observations::Event,Observations::Events::ProgramComment
Observations::Event,Observations::Events::ProgramEdit
Observations::Event,Observations::Events::ProgramEditName
Observations::Event,Observations::Events::ProgramHeader
Observations::Event,Observations::Events::ProgramLocation
Observations::Events::ProgramLocation,Observations::Events::ScheduleProgramLocation
Observations::Events::ProgramLocation,Observations::Events::MainProgramLocation
Observations::Events::ProgramLocation,Observations::Events::ActiveProgramLocation
Observations::Event,Observations::Events::ProgramLocationType
Observations::Events::ProgramLocationType,Observations::Events::ScheduleProgramLocationType
Observations::Events::ProgramLocationType,Observations::Events::MainProgramLocationType
Observations::Events::ProgramLocationType,Observations::Events::ActiveProgramLocationType
Observations::Event,Observations::Events::ProgramNestLevel
Observations::Sample,Observations::Samples::Resistance
Observations::Event,Observations::Events::RotaryMode
Observations::Sample,Observations::Samples::RotaryVelocity
Observations::Samples::RotaryVelocity,Observations::Samples::ActualRotaryVelocity
Observations::Samples::RotaryVelocity,Observations::Samples::CommandedRotaryVelocity
Observations::Samples::RotaryVelocity,Observations::Samples::ProgrammedRotaryVelocity
